%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
343468000000,3065,343467000000,base_link,-4.899013660069933e-05,-0.00044062523132481487,-0.005289783362919175,0.999985910721419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015539069242589893,0.025948634478334585,0.003245186104608266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4769955563287224,0.8383231807039339,1.0059907579539207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343468000000,3066,343468000000,base_link,-4.0819447486690115e-05,-0.0004414471737681283,-0.005288274116966488,0.9999859187083734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01635096259737123,-0.0015579305206377722,0.0030110065335004696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9655726644718243,-1.312376304516403,19.230305933220066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343470000000,3067,343469000000,base_link,-3.281959014995979e-05,-0.00044190611113966225,-0.005286697106034692,0.9999859271387636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600573637287795,-0.0008333722435333349,0.0031469661194578114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06394800688088863,-0.03613370827289841,0.021772791854248297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343470000000,3068,343470000000,base_link,-4.098232312599616e-05,-0.00043162669539364567,-0.0052866556960041765,0.9999859315462378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016433874490140304,0.02047257178473353,9.363692491458096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2234107196078874,1.4907068125916474,19.28932176571361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343472000000,3069,343471000000,base_link,-3.7387611286455454e-05,-0.00041655924827263617,-0.0052875834990678775,0.9999859331717119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007029192099239591,0.030172649388437226,-0.001857364045764759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5962639505402937,-0.4379219032533073,1.6191970660427568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343472000000,3070,343472000000,base_link,-2.927584866603027e-05,-0.0004096201575258909,-0.005286864366891376,0.9999859401108684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016150525453042464,0.013963738747681767,0.0014320462547746614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.837776369985796,-1.1931176563718162,18.01858743512844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343474000000,3071,343473000000,base_link,-2.1183594937122916e-05,-0.0004026396827960118,-0.005286111879322706,0.9999859471281287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016111087139157355,0.014046280156335429,0.0014988073943993166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024832931933270692,-0.031141378861299068,0.038769293331112564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343474000000,3072,343474000000,base_link,-2.2958961295401807e-05,-0.0003917077458674929,-0.005283782161459622,0.9999859637434908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036655346817270197,0.02184363240946286,0.0046628281247473695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5658337458118565,1.7360439009195627,18.56025187612069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343475000000,3073,343475000000,base_link,-3.429222066523714e-05,-0.000386939236588532,-0.005280981826198223,0.9999859800682319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02271442371334537,0.009416980750692798,0.005609868189142278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4400786045733492,0.6780147573391061,1.6359627657571743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343477000000,3074,343476000000,base_link,-3.156794393335994e-05,-0.0003877805101055664,-0.00528007318834351,0.9999859846302181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005458224476532249,-0.0016546006593058168,0.0018153273806456513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.29834462658595,-0.7827766902761623,18.715460267494144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
