%time,field.name0,field.name1,field.name2,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.pose2.position.x,field.pose2.position.y,field.pose2.position.z,field.pose2.orientation.x,field.pose2.orientation.y,field.pose2.orientation.z,field.pose2.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z,field.twist2.linear.x,field.twist2.linear.y,field.twist2.linear.z,field.twist2.angular.x,field.twist2.angular.y,field.twist2.angular.z
418033000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.32988454483685065,0.005132630886503526,-0.236309470145149,-0.031406235924875056,-0.03090939613672357,0.7129711430295618,0.6998074069218003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957278919121791,0.0008784838961773336,0.015354325600493523,0.010499190454636669,0.01448061126630561,-0.0017446347094205168
418034000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3297897376434034,0.005136093745243319,-0.23628895361903363,-0.03140935634916681,-0.030904172284454356,0.7129716459866362,0.6998069851668034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0948072181935676,0.0034627660874009206,0.020516516665486245,-0.01187381359126579,0.0028673129518929116,0.0007841625277378437
418034000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.32969487980804807,0.005139593040738015,-0.2362782029553384,-0.03141258078724415,-0.030899223702411317,0.7129722029788925,0.6998064914833946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09485783535534413,0.003499295494695897,0.010750663695218802,-0.011634805274296662,0.002332714496345822,0.0009733779550768735
418035000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3295995943594686,0.005141312466127096,-0.23625411882345793,-0.031405335108343924,-0.030897563068481446,0.7129727737718933,0.6998063084762629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09528533761628252,0.0017195557402911992,0.02408413609483028,0.007726303113006006,0.01268071433281724,0.0014032950784745725
418037000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.32950419440842876,0.005142965415663181,-0.23623982196969165,-0.03139907694275768,-0.030896420512300054,0.712973298910791,0.6998061047225393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09539995103987906,0.001652949536085483,0.014296853766267839,0.007084535681594887,0.010543332739832576,0.0013404921541949205
418038000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.32940856542313957,0.00514540487352433,-0.23621890591988212,-0.031399148845420506,-0.030890888255932936,0.7129732756163311,0.6998063694561959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0956288140071022,0.0024394794382816562,0.020916061648414478,-0.007971420027555643,0.007655356740782668,-0.0007622937544455103
418039000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3293128551739055,0.00514788129318832,-0.23620779617133958,-0.03139961551387523,-0.030886037281518675,0.7129732576842654,0.6998065809019742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09571024923402534,0.0024764196639900293,0.01110974854254095,-0.0075559990405086475,0.006135978705452346,-0.0006600728674015414
418040000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.32921725159712606,0.005149451775205142,-0.2361843958658007,-0.03139450614587116,-0.03088398138376836,0.7129735290062944,0.6998066244428206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09560351271806995,0.0015705412831093497,0.02340030758242479,0.004205502017601725,0.01018285833025665,0.0005037961411089674
418041000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3291215587482643,0.005150993544856994,-0.23617078647691894,-0.031390156320420214,-0.03088244613384666,0.7129737824115898,0.6998066291488533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09569284886173285,0.0015417696518528065,0.013609388881767498,0.003883531380653355,0.008367578685755923,0.0005202418856120135
418041000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.32902574468197215,0.0051530892903192405,-0.23615001693917997,-0.03138887300813142,-0.030877261282613172,0.7129741963929478,0.6998064937286557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09581389886034217,0.002095734571343694,0.02076956302897703,-0.005630608233786345,0.009104286500104648,0.0005257036994772992
